"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
61627.450618518,61806.8093101182,61861.7714323744,64327.4758119929,62531.3722232527,61952.7526446827,62409.1511794069,67903.8589249342,61206.02240388,65948.2695808814
61754.5956949415,61890.3515308067,62003.3821381327,64426.4405844337,62669.0745815496,62048.1339807622,62556.0539800177,68005.3340923187,61274.9232753308,66025.3242720806
61852.6806744388,62023.468418554,62110.4338286189,64583.820227457,62777.5076703323,62155.0956472801,62659.1827461692,68074.7369296936,61395.4925811785,66153.9821710039
62007.9524264862,62126.2818312434,62274.3386759608,64751.1195390986,62937.8138142586,62315.753838334,62820.0799305906,68199.034548431,61527.830061349,66295.999046766
62176.3619260721,62280.0860348606,62446.8966501297,64880.7246794783,63070.6206062726,62443.2811424864,62991.4043448394,68333.9222316986,61672.8162733997,66453.9495768668
62359.4650690035,62445.8745462322,62584.7683274913,65067.4491404873,63259.1231975559,62622.0250651245,63175.805060496,68479.3868507475,61830.5487838481,66626.5313860403
62560.5801068256,62625.5909100345,62779.384112967,65264.369342823,63461.5009027038,62812.5881798175,63373.0005896407,68637.6215552986,61998.8566495932,66814.6292571288
63015.9533408487,63029.7807566309,63215.6261635057,65697.7079228617,63914.0004507938,63240.6293559673,63804.1766032667,68998.0923618216,62376.7788214765,67245.5035734062
63272.7110142565,63257.3030683034,63504.5459480983,65985.5084171001,64166.0122452842,63479.2627632105,64091.9259769812,69201.6276480107,62590.8854444279,67533.6524682143
63589.8094469579,63501.6425975013,63769.6185672938,66242.763762263,64475.5340724144,63735.281631036,64349.6166004586,69465.3584808189,62864.2250559649,67800.4336050085
85580.7182310792,83819.5540207483,84836.9489030976,87413.9113278092,85992.8808301058,84661.2363033706,85450.0591620905,89277.0026615865,83149.216763827,89519.2636377241
