"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
13104.8774015496,7923.38486239451,14358.0951916207,14908.1226609798,16212.644741296,17237.0037017859,14736.3414398022,16549.5811912305,18477.0086844734,12729.643577928
13088.2981711926,7879.75189970803,14322.3552253351,14866.2186627863,16177.4407486897,17204.9200302986,14696.3809894311,16512.0064394608,18412.6684533629,12714.7906634213
13074.5929425487,7842.17286638931,14291.9291026513,14830.9478099144,16145.7825847963,17177.3870396087,14662.872774139,16480.1512856009,18355.5291914715,12706.389760194
13065.0836797523,7810.66142042712,14266.349552732,14801.1700864365,16116.7809850633,17154.3985562469,14633.9942666116,16453.4581878349,18303.7046967601,12703.4738962319
13060.9487591136,7782.14441053472,14246.1189680523,14775.9200656894,16092.2478049647,17136.4004746433,14612.9398670489,16432.3088656001,18259.1808463228,12705.9673609162
13061.4243472315,7756.31903039674,14230.1175346081,14753.1703583111,16073.8585252689,17122.9223980302,14596.4234865564,16417.5202994536,18217.6302387155,12712.7983095717
13063.714576573,7735.3303293755,14218.5243382626,14734.1967116828,16058.3029321857,17111.952399501,14583.4818470021,16408.8360477016,18180.2686620455,12723.7829765819
13077.2130050784,7704.79000086799,14204.9101265574,14711.0025319314,16034.0896405905,17100.8000092369,14562.3569629813,16406.6361258335,18126.6641116027,12761.5061049725
13086.3169089799,7698.23159938693,14201.9292286574,14704.950432473,16029.306753519,17099.9556355965,14556.3759820867,16410.5108698306,18107.54817134,12786.1069764242
13097.1558543786,7695.3083288317,14201.7394074354,14701.8486748233,16027.5844880899,17101.4192878009,14552.5736316732,16417.7990322779,18086.0257549258,12813.5185558319
26059.9308443497,20091.538107239,28209.3368599383,27772.1759952767,28745.2813375037,31004.8134687026,25080.037413789,32733.6173942115,26790.1494202354,27045.0540217836
