"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
15228.8380108917,13457.7043419641,12328.2185813064,15279.0288042889,17895.9182562792,18880.4771419974,13516.8491386927,20094.9510591432,13385.826727821,17512.21875066
15153.0098413328,13433.6048346945,12324.5892456498,15245.9620327606,17884.3109045763,18791.3949011614,13551.0647603799,20020.3820407751,13376.2887911003,17429.9321453973
15077.527385871,13399.8948613391,12328.0669763141,15218.8265572883,17874.5767157389,18703.898987032,13587.0400873661,19947.9669904808,13369.1837659669,17364.4745019223
15016.7054301077,13369.2671696593,12333.1696924868,15203.6945558657,17884.1437402992,18625.4960917069,13627.2969128437,19883.3262129556,13369.8108083745,17285.3786800702
14945.1811542856,13344.8143367557,12343.8675224882,15195.389230831,17887.7999210685,18550.3189274766,13680.9531116158,19831.6951134542,13358.1576009451,17221.2455508329
14883.1951681728,13325.2753362202,12357.3299771419,15192.8498752036,17896.0544346259,18476.5966617888,13718.0859325533,19788.1962922244,13358.3495142175,17154.6023412828
14803.6823028913,13305.9154871867,12369.3012276273,15183.3787444374,17895.3751300423,18410.2867107764,13771.4625645007,19720.1835405534,13354.2685889717,17073.8614558532
14675.7212426573,13277.920303957,12410.4363108626,15173.5982230549,17892.3190075663,18279.8693359718,13861.3899094457,19568.921963232,13372.8767352875,16949.9260570351
14618.8206663358,13262.8042716437,12438.9505086039,15180.0060742705,17906.2710089745,18224.5524039846,13911.4970666586,19498.7622153997,13378.809056147,16894.9372460219
14564.6227824509,13250.0830277576,12470.0699531964,15191.5933242562,17920.809672516,18173.4054095021,13962.9011991819,19432.0258697847,13393.4405856445,16841.9556837424
29042.9768784156,26524.7612224148,29458.7963343517,41682.22645246,32474.4695917811,36221.8175673114,31513.9696533736,32441.2522103354,27031.0412694233,30976.3635113871
