cosine010
Tue Aug 25 11:03:48 PDT 2020
Loading required package: Matrix

Attaching package: ‘expm’

The following object is masked from ‘package:Matrix’:

    expm

[1]  1.00000 18.17415
[1]  2.00000 18.17415
[1]  3.00000 10.48557
[1]  4.00000 10.48557
[1]  5.00000 22.19795
[1]  6.00000 16.44465
[1] 7.000000 9.025013
[1]  8.00000 11.02318
[1] 9.000000 9.974182
[1] 10.00000 12.18249
[1] 11.000000  9.025013
[1] 12.00000 18.17415
[1] 13.00000 22.19795
[1] 14.00000 16.44465
[1] 15.00000 11.58835
[1] 16.00000 16.44465
[1] 17.00000 12.18249
[1] 18.00000 13.46374
[1] 19.000000  9.025013
[1] 20.00000 16.44465
[1] 21.00000 16.44465
[1] 22.000000  9.025013
[1] 23.000000  9.025013
[1] 24.000000  9.025013
[1] 25.00000 10.48557
[1] 26.000000  9.974182
[1] 27.000000  9.025013
[1] 28.00000 16.44465
[1] 29.00000 11.02318
[1] 30.00000 11.02318
[1] 31.000000  9.025013
[1] 32.00000 18.17415
[1] 33.00000 11.02318
[1] 34.00000 13.46374
[1] 35.00000 14.15404
[1] 36.000000  9.025013
[1] 37.000000  9.025013
[1] 38.00000 22.19795
[1] 39.00000 14.87973
[1] 40.00000 11.02318
[1] 41.000000  9.025013
[1] 42.00000 22.19795
[1] 43.000000  9.487736
[1] 44.00000 16.44465
[1] 45.00000 12.18249
[1] 46.00000 18.17415
[1] 47.000000  9.025013
[1] 48.00000 16.44465
[1] 49.00000 18.17415
[1] 50.000000  9.487736
Time difference of 1.169071 days
