finch001
Mon Aug 24 17:14:18 PDT 2020
Loading required package: Matrix

Attaching package: ‘expm’

The following object is masked from ‘package:Matrix’:

    expm

[1]   1.0000 109.9472
[1]   2.0000 109.9472
[1]  3.00000 99.48432
[1]   4.0000 134.2898
[1]   5.0000 134.2898
[1]   6.0000 121.5104
[1]   7.0000 121.5104
[1]  8.00000 99.48432
[1]  9.00000 99.48432
[1] 10.00000 99.48432
[1]  11.0000 134.2898
[1]  12.0000 109.9472
[1]  13.0000 121.5104
[1] 14.00000 99.48432
[1]  15.0000 109.9472
[1]  16.0000 109.9472
[1] 17.00000 81.45087
[1] 18.00000 90.01713
[1]  19.0000 109.9472
[1]  20.0000 109.9472
[1] 21.00000 99.48432
[1] 22.00000 99.48432
[1]  23.0000 109.9472
[1] 24.00000 90.01713
[1]  25.0000 109.9472
[1] 26.00000 99.48432
[1]  27.0000 121.5104
[1]  28.0000 109.9472
[1] 29.00000 99.48432
[1]  30.0000 109.9472
[1] 31.00000 90.01713
[1]  32.0000 121.5104
[1]  33.0000 109.9472
[1] 34.00000 99.48432
[1] 35.00000 99.48432
[1] 36.00000 99.48432
[1] 37.00000 99.48432
[1]  38.0000 109.9472
[1] 39.00000 99.48432
[1]  40.0000 109.9472
[1] 41.00000 99.48432
[1]  42.0000 121.5104
[1]  43.0000 109.9472
[1]  44.0000 109.9472
[1] 45.00000 99.48432
[1]  46.0000 121.5104
[1] 47.00000 99.48432
[1] 48.00000 99.48432
[1] 49.00000 99.48432
[1] 50.00000 99.48432
Time difference of 6.184668 mins
